Pyrococcus horikoshii	1DJU
Pyrococcus horikoshii	1G2I
Pyrococcus horikoshii	1G8A
Pyrococcus horikoshii	1GD9
Pyrococcus horikoshii	1GDE
Pyrococcus horikoshii	1ILW
Pyrococcus horikoshii	1IM5
Pyrococcus horikoshii	1ION
Pyrococcus horikoshii	1IQ8
Pyrococcus horikoshii	1IQV
Pyrococcus horikoshii	1IRX
Pyrococcus horikoshii	1IT7
Pyrococcus horikoshii	1IT8
Pyrococcus horikoshii	1IU8
Pyrococcus horikoshii	1IU9
Pyrococcus horikoshii	1IXK
Pyrococcus horikoshii	1IXL
Pyrococcus horikoshii	1IZ6
Pyrococcus horikoshii	1J08
Pyrococcus horikoshii	1J0A
Pyrococcus horikoshii	1J0B
Pyrococcus horikoshii	1J2V
Pyrococcus horikoshii	1J31
Pyrococcus horikoshii	1J3A
Pyrococcus horikoshii	1JFL
Pyrococcus horikoshii	1KU5
Pyrococcus horikoshii	1L2L
Pyrococcus horikoshii	1LK5
Pyrococcus horikoshii	1LK7
Pyrococcus horikoshii	1RI7
Pyrococcus horikoshii	1U2X
Pyrococcus horikoshii	1UAX
Pyrococcus horikoshii	1UB9
Pyrococcus horikoshii	1UC2
Pyrococcus horikoshii	1UDD
Pyrococcus horikoshii	1UDE
Pyrococcus horikoshii	1UKU
Pyrococcus horikoshii	1ULY
Pyrococcus horikoshii	1UMJ
Pyrococcus horikoshii	1UZ5
Pyrococcus horikoshii	1V30
Pyrococcus horikoshii	1V33
Pyrococcus horikoshii	1V34
Pyrococcus horikoshii	1V3W
Pyrococcus horikoshii	1V3Z
Pyrococcus horikoshii	1V43
Pyrococcus horikoshii	1V4P
Pyrococcus horikoshii	1V5V
Pyrococcus horikoshii	1V67
Pyrococcus horikoshii	1V6T
Pyrococcus horikoshii	1V76
Pyrococcus horikoshii	1V77
Pyrococcus horikoshii	1V7L
Pyrococcus horikoshii	1V7O
Pyrococcus horikoshii	1V7R
Pyrococcus horikoshii	1V96
Pyrococcus horikoshii	1V9N
Pyrococcus horikoshii	1VAJ
