"","Centurus aurifrons","Icterus gularis","Pteroglossus torguatus","Trogon citreolus","Centurus pygmaeus","Megarynchus pitangua","Psilorhinus morio","Ramphastos sulfuratus","Saltator atriceps","Tityra semifasciata","Amazona albifrons","Aratinga astec","Cissilopha yucatanica","Cyanocorax yncas","Dives dives","Euphonia hirundinacea","Icterus chrysater","Myiozetetes similis","Tyrannus melancholicus","Euphonia affinis","Icterus auratus","Icterus mesomelas ","Icterus prosthemelas","Ortalis vetula","Pitangus sulphuratus","Turdus grayi","Cotinga amabilis"
"Ehretia tinifolia",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"Metopium browneii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
"Ficus padifolia",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1
"Talisia olivaeformis",1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0
"Neea psychotrioides",1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
