,Terrestrial invertebrates,Terrestrial plant material,Organic detritus sp1 FW_013_01,Achnanthes lanceolata,Cocconeis placentual,Cymbella aspera,Epithemis turgida,Fragilaria vaucheriae,Frustulia rhomboides,Gomphoneis herculeana var. robusta,Gomphonema angustatum,Gomphonema parvulum,Gomphonema sp1 FW_013_01,Gomphonema subclavatum,Gomphonema truncatum,Melosira granulata,Navicula avenacea,Navicula placentula,Nitzschia linearis,Pinnularia borealis,Rhoicosphenia curvata,Surirella elegans,Synedra rumpens,Synedra ulna,Tabellaria flocculosa,Batrachospermum sp1 FW_013_01,Blue-green algae,Cyclotella sp1 FW_013_01,Oedogonium sp1 FW_013_01,Ulothrix sp1 FW_013_01,Green algae sp1 FW_013_01,Ameletopsis perscitus,Amphipoda type purple	,Aoteapsyche raruraru,Aphrophila neozelandicus,Austroperla cyrene,Austrosimulium australense,Coloburiscus humeralis,Cricotopus sp1 FW_013_01,Cristaperla fimbria,Deleatidum lilli,Eukieflidriella brundini,Hudsonema amabilis,Hydora nitida,Hydraena homolaena,Hydrobiosella stenocerca,Hydrobiosis sp1 FW_013_01,Hydrophilidae,Isopoda,Lumbriculiid type II,Maoridiamesia sp1 FW_013_01,Megaleptoperla grandis,Naonella forsythii,Paracalliope fluviatalus,Podaena sp1 FW_013_01,Potamopyrgus antipodarum,Pycnocentria evecta,Rhabdomastrix sp1 FW_013_01,Scirtidae type broad,Stenoperla prasinia,Stictocladius sp1 FW_013_01,Tanypodini sp1 FW_013_01,Tanytarsini sp1 FW_013_01,Tiphobiosis montana,Zelandobius confusus,Zelandoperla fenestrata,Paranephrops zelandicus,Salmo trutta,Galaxias brevipennis
Melosira granulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula avenacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0
Navicula placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinnularia borealis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoicosphenia curvata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
Surirella elegans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Synedra rumpens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Synedra ulna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Tabellaria flocculosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Batrachospermum sp1 FW_013_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue-green algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
