"","Num. of hosts sampled","Amalaraeus penicilliger","Amphipsylla primaris","Paraneopsylla ioffi","Corrodopsylla birulai","Frontopsylla ornata","Amphipsylla kuznetzovi","Neopsylla mana","Rhadinopsylla dahurica","Frontopsylla elata","Amphipsylla sibirica","Stenoponia suknevi","Rhadinopsylla angusta","Pectinoctenus nemorosa","Palaeopsylla soricis","Callopsylla caspia","Ctenophthalmus assimilis"
"Clethrionomys centralis",981,892,204,26,12,17,2,45,31,2,3,1,5,1,1,2,0
"Alticola argentatus",511,113,283,190,6,1,1,8,14,2,0,2,1,1,0,0,0
"Microtus gregalis",320,21,2,0,4,9,72,19,2,10,0,10,3,0,0,0,2
"Sicista tianshanica",129,7,0,0,8,48,2,0,0,3,0,0,0,0,0,0,0
"Sorex minutus",134,5,1,0,56,4,0,0,0,0,0,0,0,0,2,0,0
"Sorex asper",85,1,0,1,42,9,1,2,0,0,0,0,1,0,0,0,0
"Apodemus uralensis",36,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0
