"","Apis mellifera","Lasioglossum mahense","Unidentified sp3 M_PL_123","Nectarinia dussumieri","Ornidia obesa","Hemipyrellia germana","Rhiparida seychellensis","Megachile seychellensis","Phelsuma sp1 M_PL_123","Neophyllomyza approximatonervis","Cratopus aurostriatus","Unidentified sp2 M_PL_123","Rhynchium brunneum","Unidentified sp5 M_PL_123","Polistes olivaceus","Tricimba seychellensis","Chalcidoma disjunctum","Dichaetomyia fasciculifera","Eagris sabadius","Eristalinus vicarians","Hemipyrellia sp1 M_PL_123","Lampides boeticus ","Mabuya sechellensis","Scaptodrosophila sp1 M_PL_123","Unidentified sp1 M_PL_123","Unidentified sp4 M_PL_123"
"Nephrosperma vanhoutteanum",22,27,21,0,0,0,4,4,2,4,3,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0
"Pittosporum senacia",49,6,0,1,9,5,1,5,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"Chrysobalanus icaco",60,1,0,3,2,6,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0
"Erythroxylum sechellarum",15,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Dillenia ferruginea",18,11,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paragenipa wrightii",14,15,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northea hornei",7,0,0,10,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",2,5,0,0,0,0,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Ixora pudica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
