"","Apis mellifera","Lasioglossum mahense","Unidentified sp1 M_PL_126","Xylocopa caffra","Lygistorrhina sp1 M_PL_126","Unidentified sp2 M_PL_126","Hemipyrellia germana","Unidentified sp3 M_PL_126","Unidentified sp4 M_PL_126","Chalcidoma disjunctum","Hemipyrellia sp1 M_PL_126","Neavella albipectus","Nectarinia dussumieri","Parasarcophaga hirticeps","Polistes olivaceus","Unidentified sp5 M_PL_126"
"Nephrosperma vanhoutteanum",27,20,14,0,1,3,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",21,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dillenia suffruticosa",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysobalanus icaco",8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Nepenthes pervillei",6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"Roscheria melanochaetes",0,0,3,0,0,0,0,2,2,0,0,1,0,0,0,1
"Cinnamomum verum",7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Mimusops sechellarum",0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0
"Canthium bibracteatum",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
