"","Num. of hosts sampled","Ctenophthalmus wladimiri","Ceratophyllus sciurorum","Amphipsylla rossica","Frontopsylla elata","Megabothris walkeri","Ctenophthalmus bogatschevi","Neopsylla pleskei","Nosopsyllus consimilis","Hystrichopsylla talpae","Palaeopsylla soricis","Callopsylla caspia","Leptopsylla taschenbergi","Peromyscopsylla bidentata","Rhadinopsylla integella","Stenoponia ivanovi"
"Microtus arvalis",838,88,0,39,14,0,7,6,4,2,0,1,0,1,1,1
"Dryomys nitedula",52,0,67,0,0,0,0,0,0,0,0,0,1,0,0,0
"Arvicola terrestris",52,3,0,0,2,9,0,0,1,0,0,0,0,0,0,0
"Neomys schelkovnikovi",17,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
