"","Num. of hosts sampled","Megabothris calcarifer","Neopsylla bidentatiformis","Ctenophthalmus congeneroides","Frontopsylla elata","Pectinoctenus pectiniceps","Ceratophyllus indages","Frontopsylla luculenta","Nosopsyllus fasciatus","Ceratophyllus anisus","Leptopsylla segnis","Hystrichopsylla microti","Megabothris advenarius","Amphipsylla vinogradovi","Ctenophthalmus pisticus","Rhadinopsylla rothschildi","Amphipsylla marikovskii","Stenoponia sidimi","Neopsylla acanthina","Neopsylla pleskei"
"Apodemus agrarius",1028,187,125,122,110,59,3,21,20,3,6,6,4,3,0,2,0,0,0,2
"Microtus fortis",137,202,5,13,2,2,0,0,0,9,3,0,2,2,0,0,3,0,0,0
"Tamias sibiricus",17,0,6,0,0,4,56,6,0,0,0,0,0,0,4,0,0,0,2,0
"Micromys minutus",68,2,0,0,0,0,0,5,0,0,0,2,0,0,0,2,0,3,0,0
"Apodemus peninsulae",8,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
